Professor,Groups
Konstantin Beznoso,Computer and Software Engineering;Secure Systems Engineering (LERSSE)
Karen Cheung,BioMEMS;Microsystems and Nanotechnology (MiNa)
Karthik Pattabiraman,Computer and Software Engineering;Real-Time and Dependable Computing Lab (RADICAL);Secure Systems Engineering (LERSSE);Software AnaLysis and Testing (SALT) Lab
